,0,1,階,賃料/管理費,敷金/礼金,間取り/専有面積,6,お気に入り,8,NewArrival,マンション名,住所,最寄り駅,築年数,建物高さ
0,"
 
","




","
											3階","

9万円
5000円

","

-
9万円

","

1K
17.52m2

","

パノラマ

","



追加

追加

","
詳細を見る",New,グランクオール秋葉原,東京都千代田区神田佐久間町３,東京メトロ日比谷線/秋葉原駅 歩4分 --- ＪＲ山手線/秋葉原駅 歩5分 --- ＪＲ京浜東北線/秋葉原駅 歩5分,新築,4階建
1,"
 
","




","
											4階","

9万円
5000円

","

-
9万円

","

1K
17.52m2

","

パノラマ

","



追加

追加

","
詳細を見る",New,グランクオール秋葉原,東京都千代田区神田佐久間町３,東京メトロ日比谷線/秋葉原駅 歩4分 --- ＪＲ山手線/秋葉原駅 歩5分 --- ＪＲ京浜東北線/秋葉原駅 歩5分,新築,4階建
2,"
 
","




","
											3階","

9万円
5000円

","

-
9万円

","

1K
17.52m2

","


","



追加

追加

","
詳細を見る",Exsiting,グランクオール秋葉原,東京都千代田区神田佐久間町３,東京メトロ日比谷線/秋葉原駅 歩4分 --- ＪＲ山手線/秋葉原駅 歩5分 --- ＪＲ京浜東北線/秋葉原駅 歩5分,新築,4階建
3,"
 
","




","
											4階","

11万円
10000円

","

-
11万円

","

1K
25.01m2

","


","



追加

追加

","
詳細を見る",New,ＪＲ総武線 水道橋駅 12階建 築9年,東京都千代田区神田三崎町２,ＪＲ総武線/水道橋駅 歩4分 --- 都営三田線/神保町駅 歩9分 --- 東京メトロ東西線/九段下駅 歩11分,築9年,12階建
4,"
 
","




","
											10階","

10.8万円
10000円

","

-
-

","

1K
25.25m2

","


","



追加

追加

","
詳細を見る",Exsiting,リヴシティ一番町.,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩2分 --- 東京メトロ有楽町線/麹町駅 歩5分 --- 東京メトロ南北線/市ヶ谷駅 歩12分,築9年,12階建
5,"
 
","




","
											2階","

11万円
10000円

","

-
11万円

","

1K
25.01m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",Exsiting,アルテシモフィーノ,東京都千代田区神田三崎町２,ＪＲ中央線/水道橋駅 歩3分 --- 都営三田線/神保町駅 歩8分 --- 都営大江戸線/飯田橋駅 歩13分,築9年,地下1地上12階建
6,"
 
","




","
											4階","

11万円
10000円

","

-
11万円

","

1K
25.01m2

","


","



追加

追加

","
詳細を見る",New,アルテシモフィーノ,東京都千代田区神田三崎町２,ＪＲ中央線/水道橋駅 歩3分 --- 都営三田線/神保町駅 歩8分 --- 都営大江戸線/飯田橋駅 歩13分,築9年,地下1地上12階建
7,"
 
","




","
											2階","

11万円
10000円

","

-
11万円

","

1K
25.01m2

","

パノラマ

","



追加

追加

","
詳細を見る",Exsiting,ＪＲ中央線 水道橋駅 12階建 築9年,東京都千代田区神田三崎町２,ＪＲ中央線/水道橋駅 歩3分 --- 東京メトロ半蔵門線/神保町駅 歩10分 --- 東京メトロ東西線/九段下駅 歩11分,築9年,12階建
8,"
 
","




","
											4階","

11万円
10000円

","

-
11万円

","

1K
25.01m2

","


","



追加

追加

","
詳細を見る",New,ＪＲ中央線 水道橋駅 12階建 築9年,東京都千代田区神田三崎町２,ＪＲ中央線/水道橋駅 歩3分 --- 東京メトロ半蔵門線/神保町駅 歩10分 --- 東京メトロ東西線/九段下駅 歩11分,築9年,12階建
9,"
 
","




","
											2階","

11万円
10000円

","

-
11万円

","

1K
25.01m2

","

パノラマ

","



追加

追加

","
詳細を見る",New,ＡＲＴＥＳＳＩＭＯ　ＦＩＮＯ,東京都千代田区神田三崎町２,ＪＲ中央線/水道橋駅 歩3分 --- 東京メトロ半蔵門線/神保町駅 歩9分 --- ＪＲ中央線/御茶ノ水駅 歩10分,築9年,12階建
10,"
 
","




","
											4階","

10万円
10000円

","

-
10万円

","

1K
26.06m2

","


","



追加

追加

","
詳細を見る",New,ガリシア九段下ライズ.,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩2分 --- 東京メトロ半蔵門線/神保町駅 歩6分 --- ＪＲ中央線/水道橋駅 歩9分,築9年,地下1地上14階建
11,"
 
","




","
											2階","

10.4万円
10000円

","

-
10.4万円

","

1K
26.06m2

","


","



追加

追加

","
詳細を見る",New,ガリシア九段下ライズ.,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩2分 --- 東京メトロ半蔵門線/神保町駅 歩6分 --- ＪＲ中央線/水道橋駅 歩9分,築9年,地下1地上14階建
12,"
 
","




","
											3階","

10.5万円
10000円

","

10.5万円
10.5万円

","

1K
26.06m2

","


","



追加

追加

","
詳細を見る",Exsiting,ガリシア九段下ライズ.,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩2分 --- 東京メトロ半蔵門線/神保町駅 歩6分 --- ＪＲ中央線/水道橋駅 歩9分,築9年,地下1地上14階建
13,"
 
","




","
											2階","

11万円
10000円

","

11万円
11万円

","

1K
26.06m2

","


","



追加

追加

","
詳細を見る",Exsiting,ガリシア九段下ライズ.,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩2分 --- 東京メトロ半蔵門線/神保町駅 歩6分 --- ＪＲ中央線/水道橋駅 歩9分,築9年,地下1地上14階建
14,"
 
","




","
											4階","

10万円
10000円

","

-
10万円

","

1K
26.06m2

","


","



追加

追加

","
詳細を見る",New,東京メトロ半蔵門線 九段下駅 地下1地上14階建 築9年,東京都千代田区九段北１,東京メトロ半蔵門線/九段下駅 歩2分 --- 都営三田線/神保町駅 歩6分 --- ＪＲ中央線/水道橋駅 歩9分,築9年,地下1地上14階建
15,"
 
","




","
											10階","

9.9万円
16000円

","

-
9.9万円

","

ワンルーム
31.01m2

","

動画

","



追加

追加

","
詳細を見る",New,東京メトロ日比谷線 秋葉原駅 12階建 築15年,東京都千代田区岩本町３,東京メトロ日比谷線/秋葉原駅 歩3分 --- ＪＲ山手線/秋葉原駅 歩7分 --- 都営新宿線/岩本町駅 歩3分,築15年,12階建
16,"
 
","




","
											10階","

9.9万円
10000円

","

-
9.9万円

","

ワンルーム
31.01m2

","


","



追加

追加

","
詳細を見る",Exsiting,パークウェル秋葉原,東京都千代田区岩本町３,東京メトロ日比谷線/秋葉原駅 歩3分 --- 都営新宿線/岩本町駅 歩3分 --- ＪＲ総武線/浅草橋駅 歩7分,築15年,12階建
17,"
 
","




","
											10階","

9.9万円
16000円

","

-
9.9万円

","

ワンルーム
31.01m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",Exsiting,パークウェル秋葉原,東京都千代田区岩本町３,東京メトロ日比谷線/秋葉原駅 歩3分 --- 都営新宿線/岩本町駅 歩3分 --- ＪＲ総武線/浅草橋駅 歩7分,築15年,12階建
18,"
 
","




","
											10階","

9.9万円
16000円

","

-
9.9万円

","

ワンルーム
31.01m2

","

動画

","



追加

追加

","
詳細を見る",Exsiting,パークウェル秋葉原,東京都千代田区岩本町３,東京メトロ日比谷線/秋葉原駅 歩3分 --- 都営新宿線/岩本町駅 歩3分 --- ＪＲ総武線/浅草橋駅 歩7分,築15年,12階建
19,"
 
","




","
											3階","

11.8万円
-

","

11.8万円
11.8万円

","

ワンルーム
33.32m2

","

動画

","



追加

追加

","
詳細を見る",Exsiting,パークウェル秋葉原,東京都千代田区岩本町３,東京メトロ日比谷線/秋葉原駅 歩3分 --- 都営新宿線/岩本町駅 歩3分 --- ＪＲ総武線/浅草橋駅 歩7分,築15年,12階建
20,"
 
","




","
											5階","

10.9万円
10000円

","

-
10.9万円

","

1K
25.16m2

","


","



追加

追加

","
詳細を見る",New,クレイシア神田淡路町,東京都千代田区神田司町２,ＪＲ総武線/御茶ノ水駅 歩10分 --- 東京メトロ丸ノ内線/淡路町駅 歩2分 --- 東京メトロ銀座線/神田駅 歩5分,築4年,12階建
21,"
 
","




","
											3階","

10.5万円
10000円

","

-
-

","

1K
20.81m2

","


","



追加

追加

","
詳細を見る",New,グランパセオ神田駅前,東京都千代田区神田須田町２,都営新宿線/岩本町駅 歩2分 --- ＪＲ山手線/神田駅 歩4分 --- 東京メトロ日比谷線/秋葉原駅 歩6分,築3年,12階建
22,"
 
","




","
											4階","

10.7万円
10000円

","

-
-

","

1K
20.94m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",New,グランパセオ神田駅前,東京都千代田区神田須田町２,都営新宿線/岩本町駅 歩2分 --- ＪＲ山手線/神田駅 歩4分 --- 東京メトロ日比谷線/秋葉原駅 歩6分,築3年,12階建
23,"
 
","




","
											3階","

11万円
8000円

","

11万円
11万円

","

1K
25.16m2

","


","



追加

追加

","
詳細を見る",New,東京メトロ半蔵門線 神保町駅 12階建 築7年,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩6分 --- ＪＲ総武線/御茶ノ水駅 歩10分 --- 都営三田線/水道橋駅 歩10分,築7年,12階建
24,"
 
","




","
											6階","

11.2万円
8000円

","

11.2万円
11.2万円

","

1K
25.28m2

","


","



追加

追加

","
詳細を見る",New,東京メトロ半蔵門線 神保町駅 12階建 築7年,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩6分 --- ＪＲ総武線/御茶ノ水駅 歩10分 --- 都営三田線/水道橋駅 歩10分,築7年,12階建
25,"
 
","




","
											2階","

11.2万円
8000円

","

11.2万円
11.2万円

","

1K
25.2m2

","

パノラマ

","



追加

追加

","
詳細を見る",New,東京メトロ半蔵門線 神保町駅 12階建 築7年,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩6分 --- ＪＲ総武線/御茶ノ水駅 歩10分 --- 都営三田線/水道橋駅 歩10分,築7年,12階建
26,"
 
","




","
											3階","

11.2万円
8000円

","

11.2万円
11.2万円

","

1K
25.16m2

","


","



追加

追加

","
詳細を見る",Exsiting,東京メトロ半蔵門線 神保町駅 12階建 築7年,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩6分 --- ＪＲ総武線/御茶ノ水駅 歩10分 --- 都営三田線/水道橋駅 歩10分,築7年,12階建
27,"
 
","




","
											8階","

9.6万円
12000円

","

-
-

","

1K
25.07m2

","

動画

","



追加

追加

","
詳細を見る",Exsiting,パティオ神田,東京都千代田区岩本町２,ＪＲ山手線/神田駅 歩6分 --- ＪＲ山手線/秋葉原駅 歩9分 --- 都営浅草線/人形町駅 歩12分,築8年,14階建
28,"
 
","




","
											8階","

9.9万円
12000円

","

-
-

","

1K
25.07m2

","


","



追加

追加

","
詳細を見る",Exsiting,パティオ神田,東京都千代田区岩本町２,ＪＲ山手線/神田駅 歩6分 --- ＪＲ山手線/秋葉原駅 歩9分 --- 都営浅草線/人形町駅 歩12分,築8年,14階建
29,"
 
","




","
											8階","

10.1万円
12000円

","

-
-

","

1K
25.07m2

","


","



追加

追加

","
詳細を見る",Exsiting,パティオ神田,東京都千代田区岩本町２,ＪＲ山手線/神田駅 歩6分 --- ＪＲ山手線/秋葉原駅 歩9分 --- 都営浅草線/人形町駅 歩12分,築8年,14階建
30,"
 
","




","
											7階","

10.3万円
12000円

","

-
-

","

1K
25.07m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",New,パティオ神田,東京都千代田区岩本町２,ＪＲ山手線/神田駅 歩6分 --- ＪＲ山手線/秋葉原駅 歩9分 --- 都営浅草線/人形町駅 歩12分,築8年,14階建
31,"
 
","




","
											8階","

10.3万円
12000円

","

-
-

","

1K
25.07m2

","


","



追加

追加

","
詳細を見る",Exsiting,パティオ神田,東京都千代田区岩本町２,ＪＲ山手線/神田駅 歩6分 --- ＪＲ山手線/秋葉原駅 歩9分 --- 都営浅草線/人形町駅 歩12分,築8年,14階建
32,"
 
","




","
											8階","

10.4万円
12000円

","

-
-

","

1K
25.07m2

","


","



追加

追加

","
詳細を見る",Exsiting,パティオ神田,東京都千代田区岩本町２,ＪＲ山手線/神田駅 歩6分 --- ＪＲ山手線/秋葉原駅 歩9分 --- 都営浅草線/人形町駅 歩12分,築8年,14階建
